"Story","Title","Result","Date","Stability","Duration (s)"
"HU05","Buscar curso","SUCCESS","2021-12-03T13:33:28.6935623-05:00[America/Bogota]","0.0","1.12"
"HU05","Crear curso","SUCCESS","2021-12-03T13:33:29.8298977-05:00[America/Bogota]","0.0","1.08"
"HU05","Crear curso con dato average invalido","SUCCESS","2021-12-03T13:33:30.9260499-05:00[America/Bogota]","0.0","0.52"
"HU05","Crear curso con dato condition invalido","SUCCESS","2021-12-03T13:33:31.4569659-05:00[America/Bogota]","0.0","0.54"
"HU05","Crear curso con dato type invalido","SUCCESS","2021-12-03T13:33:32.0121814-05:00[America/Bogota]","0.0","0.5"
"HU05","Crear curso con dato name curso repetido","SUCCESS","2021-12-03T13:33:32.5277934-05:00[America/Bogota]","0.0","1.48"
"HU05","Crear curso con dato name categoria repetido","SUCCESS","2021-12-03T13:33:34.0219337-05:00[America/Bogota]","0.0","1.42"
"HU05","Crear curso vacio","SUCCESS","2021-12-03T13:33:35.4533219-05:00[America/Bogota]","0.0","0.54"
"HU05","Crear curso algunos campos vacios","SUCCESS","2021-12-03T13:33:36.0040828-05:00[America/Bogota]","0.0","0.51"
"HU05","Crear curso todos los campos invalidos","SUCCESS","2021-12-03T13:33:36.5216626-05:00[America/Bogota]","0.0","0.49"
"HU05","Editar curso","SUCCESS","2021-12-03T13:33:37.0208253-05:00[America/Bogota]","0.0","1.47"
"HU05","Eliminar curso","SUCCESS","2021-12-03T13:33:38.5051404-05:00[America/Bogota]","0.0","0.9"
